Winter,Spring,Summer,Fall,Depth
0.06557360000000001,0.06638140000000001,0.0706878,0.0732078,45.0
0.06559936000000001,0.06638434000000001,0.0706136,0.07316496,45.5
0.06562512000000001,0.06638728,0.0705394,0.07312212,46.0
0.06565088000000001,0.06639022,0.07046519999999999,0.07307928000000001,46.5
0.06567664000000001,0.06639316,0.070391,0.07303644000000001,47.0
0.06570240000000001,0.06639610000000001,0.0703168,0.0729936,47.5
0.06572816000000001,0.06639904,0.0702426,0.07295076,48.0
0.06575392000000001,0.06640198,0.0701684,0.07290792,48.5
0.06577968000000001,0.06640492,0.0700942,0.07286508000000001,49.0
0.06580544,0.06640786000000001,0.07002,0.07282224000000001,49.5
0.0658312,0.0664108,0.0699458,0.07277940000000001,50.0
0.0658592,0.06641752000000001,0.0698996,0.07273348,50.5
0.0658872,0.06642424000000001,0.0698534,0.07268756000000001,51.0
0.06591520000000001,0.06643096000000001,0.0698072,0.07264164000000001,51.5
0.06594320000000001,0.06643768000000001,0.069761,0.07259572,52.0
0.06597120000000001,0.06644440000000001,0.0697148,0.0725498,52.5
0.06599920000000001,0.06645112,0.0696686,0.07250388,53.0
0.06602720000000001,0.06645784,0.0696224,0.07245796,53.5
0.06605520000000001,0.06646456,0.0695762,0.07241204,54.0
0.06608320000000001,0.06647128000000001,0.06953,0.07236612,54.5
0.06611120000000001,0.06647800000000001,0.0694838,0.0723202,55.0
0.06613584,0.06648836000000001,0.0694579,0.07227974,55.5
0.06616048000000001,0.06649872000000001,0.069432,0.07223928,56.0
0.06618512000000001,0.06650908000000001,0.0694061,0.07219882,56.5
0.06620976,0.06651944000000001,0.0693802,0.07215836,57.0
0.0662344,0.0665298,0.06935430000000001,0.0721179,57.5
0.06625904,0.06654016,0.0693284,0.07207743999999999,58.0
0.06628368000000001,0.06655052,0.0693025,0.07203698,58.5
0.06630832,0.06656088,0.06927660000000001,0.07199652,59.0
0.06633296,0.06657124,0.0692507,0.07195606,59.5
0.0663576,0.0665816,0.0692248,0.0719156,60.0
0.06637986,0.06659112,0.06921206,0.07188536,60.5
0.06640212000000001,0.06660064,0.06919932000000001,0.07185512,61.0
0.06642438,0.06661016,0.06918658,0.07182488,61.5
